"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"金融P2P","登录注册模块","获取图片验证码接口  测试","0","0","4","0","0"
"金融P2P","认证开户模块","","0","0","8","0","0"
"金融P2P","登录注册模块","注册接口  测试","1","0","3","0","0"
"金融P2P","投资业务模块","投资业务","0","0","1","0","0"
"金融P2P","登录注册模块","登录状态查询接口  测试","0","0","2","0","0"
"金融P2P","投资模块","投资接口测试","0","2","0","0","0"
"金融P2P","认证开户模块","认证接口 测试","0","0","1","0","0"
"金融P2P","登录注册模块","获取短信验证码接口  测试","0","0","2","0","0"
"金融P2P","登录注册模块","登录接口  测试","0","0","4","0","0"
